typ,url,title,datum,slov,kategorie,inbound,seo_problemy,akcia,nova_url,dovod
clanok,https://easycheck.sk/blog/vymena-pneumatik-na-jesen-starostlivost-a-udrzba,Výmena pneumatík na jeseň: Starostlivosť a údržba,2023-10-30,385,tipy-triky-rady,3,bez H1|title 64z,ZOSTAVA,/blog/vymena-pneumatik-na-jesen-starostlivost-a-udrzba/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/elektricke-kolobezky-od-kedy-sa-stavaju-motocyklami-a-ake-pravidla-pre-ne-platia,Elektrické kolobežky – od kedy sa stávajú motocyklami a aké pravidlá pre ne platia?,2023-10-23,577,uzitocne-info-a-upozornenia,3,bez H1|title 66z,ZOSTAVA,/blog/elektricke-kolobezky-od-kedy-sa-stavaju-motocyklami-a-ake-pravidla-pre-ne-platia/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/overovanie-tachografov,Overovanie tachografov bez starostí,2023-10-19,369,oznamy,3,bez H1,ZOSTAVA,/blog/overovanie-tachografov/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/zatoc-si-kolesom-stastia-vyhrava-kazdy,Zatoč si kolesom šťastia. Vyhráva každý!,2023-09-27,349,oznamy,3,,ZOSTAVA,/blog/zatoc-si-kolesom-stastia-vyhrava-kazdy/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/udrziavanie-automobilu-v-jesennom-obdobi-tipy-a-triky,Udržiavanie automobilu v jesennom období: tipy a triky,2023-09-14,294,tipy-triky-rady,3,title 69z,ZOSTAVA,/blog/udrziavanie-automobilu-v-jesennom-obdobi-tipy-a-triky/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/novinky-na-nasej-stanici-inovacie-ktore-ocenia-vsetci-motoristi,"Novinky na našej stanici. Inovácie, ktoré ocenia všetci motoristi!",2023-07-06,394,oznamy,3,bez H1|title 81z,ZOSTAVA,/blog/novinky-na-nasej-stanici-inovacie-ktore-ocenia-vsetci-motoristi/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/tichy-zabijak-opotrebovane-tlmice,Tichý zabijak: Vyše pol milióna aút na Slovensku má tento problém (opotrebované tlmiče),2022-11-22,506,uzitocne-info-a-upozornenia,3,bez H1|title 102z,ZOSTAVA,/blog/tichy-zabijak-opotrebovane-tlmice/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/ako-vyhrat-auto-s-easy-check,Najlepšia možnosť ako vyhrať auto v roku 2022,2022-04-27,371,oznamy,3,,ZOSTAVA,/blog/ako-vyhrat-auto-s-easy-check/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/najcastejsie-chyby-na-stk-v-roku-2021,Najčastejšie chyby na STK v roku 2021,2022-03-02,570,uzitocne-info-a-upozornenia,3,,ZOSTAVA,/blog/najcastejsie-chyby-na-stk-v-roku-2021/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/stk-ludskou-recou-kontrola-originality-boostmania,STK Ľudskou rečou: Ako sa vykonáva kontrola originality (Vysvetľujúce video od Boostmania.sk),2022-01-04,346,uzitocne-info-a-upozornenia,3,bez H1|title 130z,ZOSTAVA,/blog/stk-ludskou-recou-kontrola-originality-boostmania/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/nudzovy-stav-vs-stk-plati-odklad,Núdzový stav vs. STK – Platí odklad?,2021-12-15,433,uzitocne-info-a-upozornenia,3,bez H1,ZOSTAVA,/blog/nudzovy-stav-vs-stk-plati-odklad/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/vianocna-sutaz-stk-easy-check,Vianočná Súťaž STK Easy Check,2020-12-20,287,oznamy,3,,ZOSTAVA,/blog/vianocna-sutaz-stk-easy-check/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/stk-v-nedelu-bez-problemov,STK v nedeľu? Bez problémov!,2020-10-26,343,oznamy,3,bez H1,ZOSTAVA,/blog/stk-v-nedelu-bez-problemov/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/pokuta-za-stk,Pokuta za neplatnú STK (COVID-19),2020-10-20,689,uzitocne-info-a-upozornenia,3,bez H1,ZOSTAVA,/blog/pokuta-za-stk/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/uplatky-na-stk,Úplatky na STK (Odhalenie),2020-08-24,750,uzitocne-info-a-upozornenia,3,bez H1,ZOSTAVA,/blog/uplatky-na-stk/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/darcek-v-easy-check-v-hodnote-25e,Darček v Easy Check (v hodnote 25€),2020-07-10,367,oznamy,3,bez H1,ZOSTAVA,/blog/darcek-v-easy-check-v-hodnote-25e/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/stk-nalepky-koncia,"STK nálepky, končia?!",2020-06-30,356,uzitocne-info-a-upozornenia,3,bez H1,ZOSTAVA,/blog/stk-nalepky-koncia/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/volkswagen-zivot-chrobaka,Volkswagen: Život Chrobáka,2020-05-07,363,zaujimavosti,3,bez H1,ZOSTAVA,/blog/volkswagen-zivot-chrobaka/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/turovanie-motora-na-stk,“Túrovanie” motora na STK?,2020-04-29,688,uzitocne-info-a-upozornenia,3,bez H1,ZOSTAVA,/blog/turovanie-motora-na-stk/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/karavan-pre-kazdeho-byvanie-na-kolesach-za-6500e,Karavan pre každého: Bývanie na kolesách za 6500€,2020-04-24,339,zaujimavosti,3,bez H1|title 64z,ZOSTAVA,/blog/karavan-pre-kazdeho-byvanie-na-kolesach-za-6500e/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/ako-sa-nepripravit-na-stk,Ako Sa (Ne)Pripraviť Na STK,2020-04-16,598,tipy-triky-rady,0,bez H1,ZOSTAVA,/blog/ako-sa-nepripravit-na-stk/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/stk-zachranila-zachranarov-dobry-krok-od-novej-vlady,STK Zachránila Záchranárov: Dobrý Krok Od Novej Vlády,2020-04-03,425,zaujimavosti,0,bez H1|title 68z,ZOSTAVA,/blog/stk-zachranila-zachranarov-dobry-krok-od-novej-vlady/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/plati-este-odklad-stk,Platí Ešte Odklad STK?,2020-04-01,775,uzitocne-info-a-upozornenia,0,bez H1,ZOSTAVA,/blog/plati-este-odklad-stk/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/mame-otvorene-ale-covid-19-opatrenia,Máme Otvorené. ALE…(COVID-19 Opatrenia),2020-03-29,293,oznamy,0,bez H1|bez meta desc,ZOSTAVA,/blog/mame-otvorene-ale-covid-19-opatrenia/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/otvoreny-list-vlade-sr-vozidla-nepodliehaju-karantene-kontrolujme-ich,"Otvorený List Vláde SR – Vozidlá Nepodliehajú Karanténe, Kontrolujme Ich!",2020-03-24,1075,uzitocne-info-a-upozornenia,0,bez H1|bez meta desc|title 88z,ZOSTAVA,/blog/otvoreny-list-vlade-sr-vozidla-nepodliehaju-karantene-kontrolujme-ich/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/je-rusko-v-aute-potrebne,Je Rúško V Aute Potrebné?,2020-03-18,364,uzitocne-info-a-upozornenia,0,bez H1|bez meta desc,ZOSTAVA,/blog/je-rusko-v-aute-potrebne/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/easy-check-pomaha-trnavcanom,Easy Check Pomáha Trnavčanom,2020-03-18,240,oznamy,0,bez H1|bez meta desc,ZOSTAVA,/blog/easy-check-pomaha-trnavcanom/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/na-prikaz-vlady-zatvorena-prevadzka-stk-korona-virus,Na Príkaz Vlády – Zatvorená Prevádzka STK (Korona Vírus),2020-03-16,176,uzitocne-info-a-upozornenia,0,bez H1|bez meta desc|title 71z|thin,ZOSTAVA,/blog/na-prikaz-vlady-zatvorena-prevadzka-stk-korona-virus/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/novy-bugatti-killer-ssc-tuatara-s-vykonom-1-755-koni,Nový Bugatti Killer: SSC Tuatara S Výkonom 1 755 Koní,2020-03-06,540,zaujimavosti,0,bez H1|bez meta desc|title 68z,ZOSTAVA,/blog/novy-bugatti-killer-ssc-tuatara-s-vykonom-1-755-koni/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/pokute-sa-nevyhnete,Pokute Sa Nevyhnete,2019-11-29,81,uzitocne-info-a-upozornenia,0,bez H1|bez meta desc|thin,ZOSTAVA,/blog/pokute-sa-nevyhnete/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/telefon-v-ruke-za-volantom-pokuta,Telefón V Ruke Za Volantom? Pokuta!,2019-11-29,49,uzitocne-info-a-upozornenia,0,bez H1|bez meta desc|thin,ZOSTAVA,/blog/telefon-v-ruke-za-volantom-pokuta/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
clanok,https://easycheck.sk/blog/pise-o-nas-novy-cas,Píše O Nás Nový Čas!,2019-11-23,41,oznamy,0,bez H1|bez meta desc|thin,ZOSTAVA,/blog/pise-o-nas-novy-cas/,"URL 1:1 podľa zadania — nula redirectov, nula straty."
stranka,https://easycheck.sk/rezervacia,REZERVÁCIA,2018-09-17,1105,,95,bez H1,ZOSTAVA,/rezervacia/,95 interných odkazov = najlinkovanejšia URL webu. Nedotýkať sa.
stranka,https://easycheck.sk/koleso-stastia,KOLESO ŠŤASTIA,2024-01-29,209,,47,,ZOSTAVA,/koleso-stastia/,"47 interných odkazov — živá mechanika, nie mŕtva kampaň. Necháme."
stranka,https://easycheck.sk/prihlasovanie-vozidiel,PRIHLASOVANIE VOZIDIEL,2023-10-01,219,,47,bez H1,ZLUCIT,/sluzby/#prihlasovanie,"219 slov. Doplnková služba, patrí do rodiny."
stranka,https://easycheck.sk/kontrola-originality,KONTROLA ORIGINALITY,2024-01-28,841,,45,,ZOSTAVA,/kontrola-originality/,Samostatná služba s vlastným dopytom (KO). 841 slov.
stranka,https://easycheck.sk/overovanie-tachografov,OVEROVANIE TACHOGRAFOV,2023-10-17,269,,45,,ZLUCIT,/sluzby/#tachografy,269 slov = nie je to samostatná stránka. InoBase téma.
stranka,https://easycheck.sk/vyzdvihnutie-vozidla-na-stk,VYZDVIHNUTIE VOZIDLA NA STK,2021-08-16,220,,45,,ZLUCIT,/sluzby/#vyzdvihnutie,220 slov. Doplnková služba.
stranka,https://easycheck.sk/povinnosti-prevadzkovatela-vozidla,POVINNOSTI PREVÁDZKOVATEĽA VOZIDLA,2020-04-04,935,,45,,ZOSTAVA,/povinnosti-prevadzkovatela-vozidla/,935 slov. ⚡ zákon 106/2018.
stranka,https://easycheck.sk/povinna-vybava,POVINNÁ VÝBAVA,2020-04-04,1036,,45,,ZOSTAVA,/povinna-vybava/,1 036 slov. ⚡ zákonný obsah (vyhláška).
stranka,https://easycheck.sk/priprava-na-stk,PRÍPRAVA NA STK,2020-04-04,954,,45,,ZOSTAVA,/priprava-na-stk/,"954 slov. Praktický obsah, mení sa málo."
stranka,https://easycheck.sk/stk-s-vyhodami,STK S VÝHODAMI,2024-01-28,264,,44,,ZLUCIT,/sluzby/#vyhody,264 slov. Benefity patria k službám a na homepage.
stranka,https://easycheck.sk/clanky,ČLÁNKY,2023-10-01,456,,44,bez H1|bez meta desc,ZOSTAVA,/clanky/,Index 42 článkov. Ostáva presne kde je.
stranka,https://easycheck.sk/cennik,CENNÍK,2020-04-04,1237,,44,bez H1,ZOSTAVA,/cennik/,"Najsilnejší komerčný dopyt. Ceny z MASTERPROMPT 2026, nie z WP."
stranka,https://easycheck.sk/uzitocne-informacie,UŽITOČNÉ INFORMÁCIE,2020-04-04,1278,,44,bez meta desc,ZOSTAVA,/uzitocne-informacie/,1 278 slov → stane sa HUB-om: chat navrchu + dlaždice na 6 info stránok.
stranka,https://easycheck.sk/platne-predpisy-stk,PLATNÉ PREDPISY STK,2020-04-04,693,,44,,ZOSTAVA,/platne-predpisy-stk/,693 slov. ⚡ toto je NAJRÝCHLEJŠIE zastarávajúca stránka webu.
stranka,https://easycheck.sk/lehoty-stk,LEHOTY STK,2020-04-04,714,,44,bez H1,ZOSTAVA,/lehoty-stk/,714 slov. ⚡ ZÁKONNÝ OBSAH — musí sa auto-aktualizovať.
stranka,https://easycheck.sk/kategorie-vozidiel-stk,KATEGÓRIE VOZIDIEL,2020-04-04,1965,,44,bez H1,ZOSTAVA,/kategorie-vozidiel-stk/,1 965 slov = najdlhšia stránka webu. ⚡ zákonný obsah.
stranka,https://easycheck.sk,DOMOV,2018-09-17,826,,23,,ZOSTAVA,/,Hero scéna hotová. Homepage.
stranka,https://easycheck.sk/vyhraj-auto-sutaz-stk,SÚŤAŽ,2020-04-01,263,,1,bez H1,301,/koleso-stastia/,Skončená súťaž (2022). 1 odkaz. Presmerovať na živú mechaniku.
stranka,https://easycheck.sk/dakujeme,ĎAKUJEME,2024-09-16,20,,0,bez meta desc,NOINDEX,/dakujeme/,"Potvrdzovacia stránka po formulári. Ostáva, ale noindex."
stranka,https://easycheck.sk/brand-manual,BRAND MANUÁL,2024-09-12,191,,0,bez meta desc,NOINDEX,/brand-manual/,Nemá čo robiť vo verejnom indexe.
stranka,https://easycheck.sk/rezervacia-vip,REZERVÁCIA-VIP,2020-05-15,259,,0,bez H1|bez meta desc,ZOSTAVA,/rezervacia-vip/,"0 odkazov, ale živý VIP flow → rieši sa v rezervačnom systéme."
stranka,https://easycheck.sk/ochrana-osobnych-udajov,OCHRANA OSOBNÝCH ÚDAJOV,2018-09-26,137,,0,bez H1|bez meta desc,ZOSTAVA,/ochrana-osobnych-udajov/,"Povinné. Prepísať, 137 slov je málo."
stranka,https://easycheck.sk/kontakt,KONTAKT,2018-09-17,209,,0,bez H1|bez meta desc,ZOSTAVA,/kontakt/,"Mapa, hodiny, telefón. Dnes bez meta description."
